,OfficialId,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,Weight,DOB,POB,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,Headshot,Initials,TrackingId,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus
15,20693,5,Will,Hill,,DB,,W. Hill,6006,205,1990-03-07,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Will_Hill_20693.png,,Florida,Active
16,20722,70,Mike,Horton,,OL,,M. Horton,6032,325,1996-10-07,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Mike_Horton_20722.png,,Auburn,Active
17,20735,56,Cameron,Hunt,,OL,,C. Hunt,6037,293,1994-12-17,,,,,,,,,,,1,,,,Oregon,Active
18,20889,12,Adrian,Killins,,RB,,A. Killins,5073,162,1998-01-02,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Adrian_Killins_20889.png,,Central Florida,Active
19,20891,0,Marquette,King,,P,,M. King,6001,192,1988-10-26,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Marquette_King_20891.png,,Fort Valley St,Active
20,20919,6,Davonte,Lambert,,DL,,D. Lambert,6014,285,1994-06-23,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Davonte_Lambert_20919.png,,Auburn,Active
21,20931,48,Tomasi,Laulile,,DL,,T. Laulile,6026,291,1995-05-22,,,,,,,,,,,1,,,,Brigham Young,Active
22,20944,,Jessie,Lemonier,,LB,,J. Lemonier,6016,240,1997-01-31,,,,,,,,,,,1,,,,Liberty,Reserve List
23,21040,55,Garrett,McGhin,,OL,,G. McGhin,6061,316,1994-10-13,,,,,,,,,,,1,,,,East Carolina,Active
24,21094,77,George,Moore,,OL,,G. Moore,6056,312,,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/George_Moore_21094.png,,Oregon,Active
25,21129,3,Flynn,Nagel,,WR,,F. Nagel,5112,188,,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Flynn_Nagel_21129.png,,Northwestern,Reserve List
26,21142,,Robert,Nelson,,DB,,R. Nelson,5094,163,1990-02-16,,,,,,,,,,,1,,,,Arizona St,Reserve List
27,21243,9,Drew,Plitt,,QB,,D. Plitt,6022,206,,,,,,,,,,,,1,,,,Ball St,Active
28,21251,4,Joe,Powell,,DB,,J. Powell,6001,200,1994-02-25,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Joe_Powell_21251.png,,Globe JC,Active
29,21318,30,Edmond,Robinson,,LB,,E. Robinson,6025,245,1992-02-23,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Edmond_Robinson_21318.png,,Newberry,Active
30,21359,1,Taylor,Russolino,,K,,T. Russolino,5110,172,1989-05-23,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Taylor_Russolino_21359.png,,Millsaps,Active
31,21379,36,Colin,Schooler,,LB,,C. Schooler,5116,229,,,,,,,,,,,,1,,,,Texas Tech,Active
32,21426,17,Jordan,Smallwood,,WR,,J. Smallwood,6010,220,1995-01-18,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jordan_Smallwood_21426.png,,Oklahoma,Active
33,21479,68,Jake,Stetz,,OL,,J. Stetz,6025,302,1998-05-30,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jake_Stetz_21479.png,,Boise St,Active
34,21497,11,Jacorey,Sullivan,,WR,,J. Sullivan,6012,212,,,,,,,,,,,,1,,,,Central Michigan,Reserve List
35,21707,11,Lujuan,Winningham,,WR,,L. Winningham,6030,198,,,,,,,,,,,,1,,,,Central Arkansas,Active
36,21798,21,Cre'Von,LeBlanc,,DB,,C. LeBlanc,5097,192,1994-07-25,,,,,,,,,,,1,,,,Florida Atlantic,Active
37,21845,73,Willie,Beavers,,OL,,W. Beavers,6045,321,1993-10-02,,,,,,,,,,,1,,,,Western Michigan,Active
38,21861,,T.J.,Green,,DB,,T. Green,6024,209,1995-03-15,,,,,,,,,,,1,,,,Clemson,Reserve List
39,21876,18,Isaac,Nauta,,TE,,I. Nauta,6032,244,1997-05-21,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Isaac_Nauta_21876.png,,Georgia,Reserve List
40,21884,10,Kyle,Sloter,,QB,,K. Sloter,6046,211,1994-02-07,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kyle_Sloter_21884.png,,Northern Colorado,Active
41,21902,,Chad,Williams,,WR,,C. Williams,6005,204,1994-10-19,,,,,,,,,,,1,,,,Grambling,Reserve List
42,21903,,Dexter,Williams,,RB,,D. Williams,5111,212,1997-01-06,,,,,,,,,,,1,,,,Notre Dame,Reserve List
43,21906,84,Dominick,Wood-Anderson,,TE,,D. Wood-Anderson,6035,261,,,,,,,,,,,,1,,,,Tennessee,Reserve List
44,21913,51,Aaron,Adeoye,,DL,,A. Adeoye,6060,260,1993-08-26,,,,,,,,,,,1,,,,Southeast Missouri St,Active
45,21922,71,Josiah,Coatney,,DL,,J. Coatney,6033,308,1996-01-04,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josiah_Coatney_21922.png,,Mississippi,Active
46,21942,,Delonte,Hood,,DB,,D. Hood,5112,192,,,,,,,,,,,,1,,,,Peru St,Reserve List
47,21959,,Debione,Renfro,,DB,,D. Renfro,6010,198,1999-01-19,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Debione_Renfro_21959.png,,Texas A&M,Reserve List
48,22000,49,Antonio,Ortiz,,LS,,A. Ortiz,6037,247,,,,,,,,,,,,1,,,,Texas Christian,Active
49,22010,90,Bruce,Hector,,DL,,B. Hector,6022,299,1994-10-07,,,,,,,,,,,1,,,,South Florida,Active
50,22014,8,Sean,Modster,,WR,,S. Modster,5106,182,1995-11-13,,,,,,,,,,,1,,,,Boise St,Active
51,22024,52,Isaiah,Graham-Mobley,,LB,,I. Graham-Mobley,6010,229,,,,,,,,,,,,1,,,,Boston College,Active
52,22030,80,Sal,Cannella,,TE,,S. Cannella,6045,236,1996-12-02,,,,,,,,,,,1,,,,Auburn,Active
53,22302,24,Darren,Evans,,DB,,D. Evans,6022,179,,,,,,,,,,,,1,,,,Louisiana St,Active
54,22305,2,De'Veon,Smith,,RB,,D. Smith,5112,243,1994-11-08,,,,,,,,,,,1,,,,Michigan,Active
55,22326,81,Nate,Becker,,TE,,N. Becker,6047,258,1996-03-24,,,,,,,,,,,1,,,,Miami-Oh,Active
56,22363,85,Tyler,Vaughns,,WR,,T. Vaughns,6020,184,1997-06-01,,,,,,,,,,,1,,,,USC,Active
57,22375,50,Willie,Taylor,,LB,,W. Taylor,6026,246,,,,,,,,,,,,1,,,,Eastern Kentucky,Active
58,22529,16,Rannell,Hall,,DB,,R. Hall,6010,210,,,,,,,,,,,,1,,,,Central Florida,Active
59,22675,18,Donald,Payne,,LB,,D. Payne,6000,236,,,,,,,,,,,,1,,,,Stetson,Active
60,22718,79,Teton,Saltes,,OL,,T. Saltes,6050,305,,,,,,,,,,,,1,,,,New Mexico,Active
61,22837,81,Kameron,Brown,,WR,,K. Brown,6023,218,,,,,,,,,,,,1,,,,Coastal Carolina,Reserve List
62,22877,25,Jordan,Miller,,DB,,J. Miller,6007,190,,,,,,,,,,,,1,,,,Washington,Active
63,22886,53,Darnell,Sankey,,LB,,D. Sankey,6010,246,,,,,,,,,,,,1,,,,Cal St-Sacramento,Active
64,20029,21,Joshua,Allen,,DB,,J. Allen,5113,204,1996-11-08,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Joshua_Allen_20029.png,,Miami-Oh,Active
65,20045,41,Jesse,Aniebonam,,DL,,J. Aniebonam,6035,258,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jesse_Aniebonam_20045.png,,Maryland,Reserve List
66,20053,23,Ryquell,Armstead,,RB,,R. Armstead,5110,230,1996-10-30,,,,,,,,,,,8,,,,Temple,Active
67,20094,80,Trae,Barry,,LS,,T. Barry,6060,250,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Trae_Barry_20094.png,,Boston College,Active
68,20133,1,Chris,Blair,,WR,,C. Blair,6020,198,,,,,,,,,,,,8,,,,Alcorn St,Active
69,20180,29,Kentrell,Brice,,DB,,K. Brice,5110,186,1994-08-11,,,,,,,,,,,8,,,,Louisiana Tech,Active
70,20189,20,Jamal,Brooks,,LB,,J. Brooks,6010,240,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jamal_Brooks_20189.png,,South Alabama,Active
71,20201,6,Fadol,Brown,,DL,,F. Brown,6040,216,1993-04-15,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Fadol_Brown_20201.png,,Mississippi,Active
72,20257,81,K.D.,Cannon,,WR,,K. Cannon,5110,172,1995-11-05,,,,,,,,,,,8,,,,Baylor,Reserve List
73,20277,,Tyler,Catalina,,OL,,T. Catalina,6035,324,1993-01-24,,,,,,,,,,,8,,,,Georgia,Reserve List
74,20298,66,Ty,Clary,,OL,,T. Clary,6040,305,,,,,,,,,,,,8,,,,Arkansas,Active
75,20319,67,Cody,Conway,,OL,,C. Conway,6060,317,1996-07-09,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cody_Conway_20319.png,,Syracuse,Active
76,20327,69,Sam,Cooper,,OL,,S. Cooper,6014,305,,,,,,,,,,,,8,,,,Merrimack,Reserve List
77,20419,2,Eric,Dungey,,QB,,E. Dungey,6040,236,1996-06-12,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Eric_Dungey_20419.png,,Syracuse,Active
78,20474,92,Jazz,Ferguson,,WR,,J. Ferguson,6045,227,1997-01-12,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jazz_Ferguson_20474.png,,Northwestern St,Reserve List
79,20480,92,Malik,Fisher,,DL,,M. Fisher,6034,259,1999-01-28,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Malik_Fisher_20480.png,,Villanova,Active
80,20503,77,Liam,Fornadel,,OL,,L. Fornadel,6040,320,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Liam_Fornadel_20503.png,,James Madison,Active
81,20618,0,Josh,Hammond,,WR,,J. Hammond,6001,201,1998-07-24,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Hammond_20618.png,,Florida,Active
82,20699,57,Anthony,Hines,,LB,,A. Hines,6030,220,,,,,,,,,,,,8,,,,Texas A&M,Active
83,20766,11,Lucky,Jackson,,WR,,L. Jackson,6000,222,1997-07-17,,,,,,,,,,,8,,,,Western Kentucky,Active
84,20873,24,Anthoula,Kelly,,DB,,A. Kelly,5090,187,1996-01-28,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Anthoula_Kelly_20873.png,,Fresno St,Active
85,20951,31,Cameron,Lewis,,DB,,C. Lewis,6003,191,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cameron_Lewis_20951.png,,Louisiana St,Active
86,20966,,Greg,Long,,OL,,G. Long,6034,304,,,,,,,,,,,,8,,,,Purdue,Reserve List
87,20982,51,Michael,Maietti,,OL,,M. Maietti,6010,290,,,,,,,,,,,,8,,,,Missouri,Active
88,21028,34,Matthew,McCrane,,K,,M. McCrane,5100,175,1994-09-08,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Matthew_Mccrane_21028.png,,Kansas St,Active
89,21080,48,Andre,Mintze,,LB,,A. Mintze,6030,253,,,,,,,,,,,,8,,,,Vanderbilt,Active
90,21114,,Parnell,Motley,,DB,,P. Motley,6001,184,1997-10-28,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Parnell_Motley_21114.png,,Oklahoma,Reserve List
91,21132,98,Dame,Ndiaye,,DL,,D. Ndiaye,6040,260,1992-04-13,,,,,,,,,,,8,,,,Portland St,Reserve List
92,21133,26,Dejuan,Neal,,DB,,D. Neal,6000,192,1996-08-05,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dejuan_Neal_21133.png,,Shepherd,Active
93,21148,5,Reggie,Northrup,,LB,,R. Northrup,6010,220,1993-10-17,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Reggie_Northrup_21148.png,,Florida St,Active
94,21174,95,Jarrell,Owens,,DL,,J. Owens,6030,280,1994-10-11,,,,,,,,,,,8,,,,Oklahoma St,Active
95,21182,96,Jacub,Panasiuk,,DL,,J. Panasiuk,6040,241,,,,,,,,,,,,8,,,,Michigan St,Active
96,21229,28,Artavis,Pierce,,RB,,A. Pierce,5110,215,1996-05-17,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Artavis_Pierce_21229.png,,Oregon St,Active
97,21278,39,Santos,Ramirez,,DB,,S. Ramirez,6020,207,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Santos_Ramirez_21278.png,,Arkansas,Active
98,21350,38,Nydair,Rouse,,DB,,N. Rouse,6000,188,1995-07-13,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nydair_Rouse_21350.png,,West Chester,Active
99,21360,9,K.J.,Sails,,DB,,K. Sails,5110,178,1997-05-02,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/KJ_Sails_21360.png,,South Florida,Active
100,21387,90,Niles,Scott,,DL,,N. Scott,6011,326,1995-09-30,,,,,,,,,,,8,,,,Frostburg St,Reserve List
101,21427,4,Abram,Smith,,RB,,A. Smith,5110,216,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Abram_Smith_21427.png,,Baylor,Active
102,21482,,Ardarius,Stewart,,WR,,A. Stewart,5111,204,1993-12-08,,,,,,,,,,,8,,,,Alabama,Reserve List
103,21490,72,T.J.,Storment,,OL,,T. Storment,6070,338,,,,,,,,,,,,8,,,,Texas Tech,Active
104,21564,91,Tariqious,Tisdale,,DL,,T. Tisdale,6047,285,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Tariqious_Tisdale_21564.png,,Mississippi,Reserve List
105,21594,90,Markell,Utsey,,DL,,M. Utsey,6040,306,,,,,,,,,,,,8,,,,Arkansas,Reserve List
106,21621,62,Dwayne,Wallace,,OL,,D. Wallace,6050,310,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dwayne_Wallace_21621.png,,Kansas,Reserve List
107,21623,99,Joseph,Wallace,,DL,,J. Wallace,6010,296,,,,,,,,,,,,8,,,,Sam Houston St,Active
108,21676,,Jordan,Williams,,DL,,J. Williams,6043,291,1999-02-12,,,,,,,,,,,8,,,,Virginia Tech,Reserve List
109,21685,8,Pooka,Williams,,WR,,P. Williams,5100,164,,,,,,,,,,,,8,,,,Kansas,Active
110,21711,82,Ethan,Wolf,,TE,,E. Wolf,6060,261,1995-11-07,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ethan_Wolf_21711.png,,Tennessee,Active
111,21720,98,Gabe,Wright,,DL,,G. Wright,6026,300,1992-04-03,,,,,,,,,,,8,,,,Auburn,Active
112,21751,22,Travon,Fuller,,DB,,T. Fuller,6010,180,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Travon_Fuller_21751.png,,Tulsa,Active
113,21835,19,Daniel,Whelan,,P,,D. Whelan,6060,227,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Daniel_Whelan_21835.png,,Cal-Davis,Active
114,21864,,Holton,Hill,,DB,,H. Hill,6022,196,1997-03-28,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Holton_Hill_21864.png,,Texas,Reserve List
115,21888,73,Rod,Taylor,,OL,,R. Taylor,6030,320,,,,,,,,,,,,8,,,,Mississippi,Active
116,21933,12,Jequez,Ezzard,,WR,,J. Ezzard,5100,202,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jequez_Ezzard_21933.png,,Sam Houston St,Active
117,21935,27,Ferrod,Gardner,,LB,,F. Gardner,6010,215,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ferrod_Gardner_21935.png,,Louisiana-Lafayette,Active
118,21980,78,D'Marcus,Hayes,,OL,,D. Hayes,6000,325,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dmarcus_Hayes_21980.png,,Georgia,Active
119,21981,3,Deriq,King,,QB,,D. King,5090,195,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deriq_King_21981.png,,Miami-Fl,Active
120,21983,88,Briley,Moore-Mckinney,,TE,,B. Moore-Mckinney,6040,250,,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Briley_Moore-Mckinney_21983.png,,Kansas St,Active
121,22003,,Kahale,Warring,,TE,,K. Warring,6051,252,1997-03-23,,,,,,,,,,,8,,,,San Diego St,Reserve List
122,22296,10,Jordan,Ta'amu,,QB,,J. Ta'amu,6030,214,1997-12-10,,,,,,,,,,,8,,,,Mississippi,Active
123,22318,63,Liam,Ryan,,OL,,L. Ryan,6050,299,1997-10-29,,,,,,,,,,,8,,,,Washington St,Active
124,22329,43,Francis,Bernard,,LB,,F. Bernard,6010,241,1995-04-08,,,,,,,,,,,8,,,,Utah,Active
125,22342,16,Chad,Hansen,,WR,,C. Hansen,6017,202,1995-01-18,,,,,,,,,,,8,,,,California,Active
126,22356,97,Caraun,Reid,,DL,,C. Reid,6021,302,1991-11-23,,,,,,,,,,,8,,,,Princeton,Active
127,22416,17,Davin,Bellamy,,DL,,D. Bellamy,6050,234,,,,,,,,,,,,8,,,,Georgia,Active
128,22855,53,Kyle,Murphy,,OL,,K. Murphy,6060,305,,,,,,,,,,,,8,,,,Stanford,Active
129,22862,15,Michael,Joseph,,DB,,M. Joseph,6000,194,,,,,,,,,,,,8,,,,Dubuque,Active
130,22880,81,Josh,Malone,,WR,,J. Malone,6026,205,,,,,,,,,,,,8,,,,Tennessee,Active
131,20033,26,Brycen,Alleyne,,RB,,B. Alleyne,5054,157,,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brycen_Alleyne_20033.png,,Delaware St,Active
132,20067,90,Josh,Avery,,DL,,J. Avery,6040,263,1996-03-16,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Avery_20067.png,,Southeast Missouri St,Reserve List
133,20107,11,Tavante,Beckett,,LB,,T. Beckett,5100,220,1997-10-21,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Tavante_Beckett_20107.png,,Marshall,Active
134,20149,22,Max,Borghi,,RB,,M. Borghi,5093,210,,,,,,,,,,,,2,,,,Washington St,Active
135,20188,,Ellis,Brooks,,LB,,E. Brooks,6013,226,,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ellis_Brooks_20188.png,,Penn St,Reserve List
136,20229,1,Deontay,Burnett,,WR,,D. Burnett,5115,185,1997-10-04,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deontay_Burnett_20229.png,,USC,Active
137,20241,2,Cedric,Byrd,,WR,,C. Byrd,5093,173,,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cedric_Byrd_20241.png,,Hawaii,Active
138,20280,73,Tommy,Champion,,OL,,T. Champion,6046,320,1997-03-04,,,,,,,,,,,2,,,,Mississippi St,Active
139,20350,45,John,Daka,,LB,,J. Daka,6020,222,1997-12-07,,,,,,,,,,,2,,,,James Madison,Active
140,20368,23,Sean,Davis,,DB,,S. Davis,6010,201,1993-10-23,,,,,,,,,,,2,,,,Maryland,Active
141,20424,8,Hunter,Duplessis,,K,,H. Duplessis,5084,204,,,,,,,,,,,,2,,,,TX-San Antonio,Active
142,20437,90,Austin,Edwards,,DL,,A. Edwards,6030,265,1997-08-27,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Austin_Edwards_20437.png,,Ferris St,Reserve List
143,20443,53,Duke,Ejiofor,,LB,,D. Ejiofor,6033,264,1995-04-24,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Duke_Ejiofor_20443.png,,Wake Forest,Reserve List
144,20445,5,Kaleb,Eleby,,QB,,K. Eleby,6006,206,2000-03-13,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kaleb_Eleby_20445.png,,Western Michigan,Active
145,20633,3,Ajene,Harris,,DB,,A. Harris,5101,181,1996-06-02,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ajene_Harris_20633.png,,USC,Active
146,20642,6,Travell,Harris,,WR,,T. Harris,5075,185,,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Travell_Harris_20642.png,,Washington St,Active
147,20675,29,A.J.,Hendy,,DB,,A. Hendy,6005,206,1993-04-08,,,,,,,,,,,2,,,,Maryland,Active
148,20707,9,Nick,Holley,,WR,,N. Holley,5097,196,1994-12-05,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nick_Holley_20707.png,,Kent St,Active
149,20801,17,Deandre,Johnson,,LB,,D. Johnson,6024,252,,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deandre_Johnson_20801.png,,Miami-Fl,Active
150,20885,42,Brian,Khoury,,LS,,B. Khoury,6025,237,,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brian_Khoury_20885.png,,Carnegie-Mellon,Active
151,20896,13,Jontre,Kirklin,,WR,,J. Kirklin,5115,184,,,,,,,,,,,,2,,,,Louisiana St,Active
152,20940,34,Dejoun,Lee,,RB,,D. Lee,5060,173,1997-03-14,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dejoun_Lee_20940.png,,Delaware,Active
153,20989,50,Chauncey,Manac,,LB,,C. Manac,6027,246,,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Chauncey_Manac_20989.png,,Louisiana-Lafayette,Reserve List
